case,rc,wall_s,stdout_sha256,prompt_tps,eval_tps
layer-ctx512-rep1,0,20,1d89d99ce29434c19dcc563856bd240b50bd7964b094b2e3de089bafd33f603c,166.08,20.56
layer-ctx512-rep2,0,21,1d89d99ce29434c19dcc563856bd240b50bd7964b094b2e3de089bafd33f603c,166.86,20.64
layer-ctx512-rep3,0,20,1d89d99ce29434c19dcc563856bd240b50bd7964b094b2e3de089bafd33f603c,166.55,20.60
layer-ctx64000-rep1,0,95,473d3c439268c70074d4bc52804395ef64ae276b147678f4b331e69b12316527,871.76,7.26
layer-ctx64000-rep2,0,96,473d3c439268c70074d4bc52804395ef64ae276b147678f4b331e69b12316527,846.47,7.26
layer-ctx64000-rep3,0,98,473d3c439268c70074d4bc52804395ef64ae276b147678f4b331e69b12316527,833.59,7.26
